nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
3,2017-09-22,N,BAL,7,0,0,0,7,0,12,3,11,0,1,186,134,52,3,2,10,88,JAX,44,10,13,14,7,0,24,3,12,2,2,410,166,244,0,0,9,70
3,2017-09-22,N,DEN,16,3,10,3,0,0,21,6,14,0,2,366,111,255,2,3,10,79,BUF,26,0,13,7,6,0,16,6,16,0,0,272,75,197,0,4,8,69
3,2017-09-22,Y,PIT,17,0,7,7,3,0,19,4,11,0,0,282,70,212,2,3,6,40,CHI,23,7,10,0,0,6,18,4,12,0,0,306,222,84,2,2,10,73
3,2017-09-22,N,ATL,30,7,13,3,7,0,26,4,9,0,0,428,151,277,3,2,8,68,DET,26,0,13,10,3,0,21,3,13,0,0,324,71,253,0,2,9,98
3,2017-09-22,N,CLE,28,0,14,0,14,0,25,5,13,0,0,346,111,235,3,1,10,113,IND,31,7,21,0,3,0,16,8,17,0,0,335,92,243,1,3,11,99
3,2017-09-22,N,TB,17,3,0,14,0,0,20,1,6,0,0,342,26,316,3,2,7,37,MIN,34,7,14,10,3,0,25,7,13,0,0,494,125,369,0,0,5,53
3,2017-09-22,N,HOU,33,10,10,7,6,0,23,6,14,0,0,417,125,292,2,2,10,60,NE,36,7,14,7,8,0,21,6,13,0,0,396,59,337,1,5,5,69
3,2017-09-22,N,MIA,6,0,0,0,6,0,16,1,12,0,3,225,30,195,2,3,8,51,NYJ,20,0,10,10,0,0,16,4,13,0,0,336,103,233,1,2,10,94
3,2017-09-22,N,NYG,24,0,0,0,24,0,21,3,10,0,2,415,49,366,2,0,10,137,PHI,27,0,7,7,13,0,24,5,14,2,3,354,193,161,1,3,9,103
3,2017-09-22,N,NO,34,7,10,7,10,0,21,6,12,0,0,362,149,213,0,1,1,10,CAR,13,3,3,7,0,0,18,7,14,0,0,288,132,156,3,4,1,5
3,2017-09-22,N,SEA,27,0,7,7,13,0,24,4,14,1,2,433,69,364,0,1,11,98,TEN,33,0,9,21,3,0,21,4,14,0,0,420,195,225,0,0,5,45
3,2017-09-22,Y,CIN,24,7,14,0,3,0,21,4,12,0,0,301,110,191,1,3,7,68,GB,27,7,0,7,10,3,22,7,15,0,0,344,64,280,1,6,4,33
3,2017-09-22,N,KC,24,14,3,0,7,0,16,4,12,0,1,311,189,122,0,5,13,122,LAC,10,7,3,0,0,0,24,5,13,0,0,330,104,226,3,2,8,61
